147,30,147,Shelton Rosa,18,Chad,1981
148,30,148,Maragaret Guerrero,37,Czech Republic,493
149,30,149,Clyde Lloyd,42,Switzerland,3772
150,30,150,Tad Cabrera,64,El Salvador,3082
151,31,151,Trudie Solomon,53,Argentina,2381
152,31,152,Williemae Alford,22,Yemen,1981
153,31,153,Edmond Velasquez,54,Jersey,395
154,31,154,Carley Suarez,65,Réunion,2065
155,31,155,Marguerita Holden,26,Bahrain,2920
156,32,156,Lezlie Duran,41,Greece,2894
157,32,157,Harold Bonner,19,Ireland,3195
158,32,158,Exie Guthrie,27,Switzerland,4164
159,32,159,Shayne Terrell,42,Serbia,2004
160,32,160,Kazuko Newman,47,Gambia,400
161,33,161,Keven Gutierrez,53,Curaçao,390
162,33,162,Taunya Daniel,40,Bolivia,1466
163,33,163,Charlott Delaney,62,Georgia,1213
164,33,164,Antonia Knight,33,Western Sahara,3204
165,33,165,Lashandra Santana,58,Laos,2411
166,34,166,Sunni West,56,Sint Maarten,2691
167,34,167,Khalilah Mack,37,San Marino,805
168,34,168,Jeremy Ramirez,21,Macedonia,4644
169,34,169,Kindra Matthews,60,Ethiopia,3773
170,34,170,Aron Bartlett,60,Anguilla,48
171,35,171,Marica Willis,21,United States,2121
172,35,172,Fermin Aguilar,66,Hong Kong SAR China,2687
173,35,173,Joesph Dennis,52,Congo - Brazzaville,1255
174,35,174,Whitney Vaughn,65,St. Vincent & Grenadines,4861
175,35,175,Gerald Douglas,59,Somalia,3130
176,36,176,Coleman Conner,65,Antarctica,245
177,36,177,Steve Wolfe,60,Panama,2433
178,36,178,Jacquiline Keller,22,Tanzania,4807
179,36,179,Lajuana Combs,39,Cyprus,1710
180,36,180,Stewart Colon,30,Venezuela,4548
181,37,181,Benny Green,39,Sweden,897
182,37,182,Toshiko Mcfarland,40,Taiwan,3228
183,37,183,Gene Wynn,49,Gambia,3276
184,37,184,Melvin Andrews,20,Brunei,1800
185,37,185,Lesha Hobbs,23,St. Martin,2597
186,38,186,Frank Sweet,38,Senegal,2780
187,38,187,Kaci Durham,65,Denmark,3245
188,38,188,Will Watson,22,Senegal,4163
189,38,189,Ngan Romero,61,Greenland,561
190,38,190,Carlyn Pace,34,Guernsey,2702
191,39,191,Kaila Marquez,40,Netherlands,4381
192,39,192,Cody Byers,61,Argentina,4534
193,39,193,Damian Holman,42,Albania,4248
194,39,194,Hue Gray,58,Diego Garcia,3728
195,39,195,Quinn Sharpe,28,United States,432
196,40,196,Gertha Graves,23,Libya,694
197,40,197,Melita Cline,33,Martinique,4491
198,40,198,Omar Buckner,63,Liberia,540
199,40,199,Shad Owen,45,Mayotte,1952
200,40,200,Denny Ellison,62,Puerto Rico,4963
201,41,201,Veola Talley,43,Malta,3645
202,41,202,Harry Keith,39,Kiribati,1738
203,41,203,Jasper Mullen,60,Moldova,2442
204,41,204,Troy Kemp,31,French Guiana,2034
205,41,205,Robbi Conner,33,Grenada,4158
206,42,206,Jonathon Clay,38,Somalia,3387
207,42,207,Newton Ingram,19,Kosovo,1638
208,42,208,Max Hinton,48,Suriname,180
209,42,209,Eura Trevino,60,Malaysia,1769
210,42,210,Loura Warren,27,Austria,2887
211,43,211,Lauren Hood,65,Tokelau,739
212,43,212,Lloyd Bell,61,Latvia,1936
213,43,213,Kathyrn Alvarez,37,Azerbaijan,4670
214,43,214,Jennell Hopkins,53,Comoros,2233
215,43,215,Hsiu Long,32,Equatorial Guinea,2528
216,44,216,Merlin Joyce,33,Guinea-Bissau,3856
217,44,217,Joannie Joyce,37,Liberia,614
218,44,218,Eleonora Gay,41,Malawi,1553
219,44,219,Dennis Haley,18,Czech Republic,4303
220,44,220,Robin Carlson,44,Seychelles,2918
221,45,221,Shala O'brien,19,Swaziland,4394
222,45,222,Gerald Weber,47,Kazakhstan,2510
223,45,223,Tequila Mccall,21,French Guiana,2767
224,45,224,Gita Carrillo,49,Myanmar,2449
225,45,225,Elois Stokes,36,Faroe Islands,2359
226,46,226,Sparkle Barrett,64,Nepal,2990
227,46,227,Lucien Brooks,27,Niue,4401
228,46,228,Marylouise Lester,42,Diego Garcia,171
229,46,229,Jose Gutierrez,35,Wallis & Futuna,3785
230,46,230,Dwight Vega,33,Tanzania,1604
231,47,231,Evelin Church,49,Spain,3373
232,47,232,Trinity Raymond,51,Thailand,2004
233,47,233,Janella Wells,48,Mayotte,1911
234,47,234,Rashad Castaneda,55,Kiribati,1589
235,47,235,Madelaine Suarez,18,U.S. Outlying Islands,236
236,48,236,Ileen Mitchell,39,United Arab Emirates,3092
237,48,237,Zachery Beasley,66,Israel,1809
238,48,238,Rickie Huffman,43,Sudan,3375
239,48,239,Debera Moss,51,Bolivia,4647
240,48,240,Garrett Scott,66,Puerto Rico,3425
241,49,241,Danny Wells,31,Congo - Brazzaville,3470
242,49,242,Tenisha Hebert,58,St. Vincent & Grenadines,4544
243,49,243,Lewis Romero,50,Mongolia,3623
244,49,244,Jutta Dunlap,46,Peru,1828
245,49,245,Andres Hurst,65,Burkina Faso,1757
246,50,246,Jamar Riley,49,Zambia,1009
247,50,247,Ligia Ray,34,American Samoa,1700
248,50,248,Milo Miranda,17,Zimbabwe,1966
249,50,249,Kenia Johnson,61,Dominican Republic,1772
250,50,250,Yoko Cobb,61,Benin,661
